Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
R1_CARTAG_PRADO,1_0_2_456_EA79_1_CE40000_0_0_0.png,r1cartagprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CASTEL_PRADO,1_0_2_47E_EA74_1_CE40000_0_0_0.png,r1castelprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CATALU_PRADO,1_0_2_1AE_EA76_1_CE40000_0_0_0.png,r1cataluprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CATALU_PRADO,1_0_2_1AE_EA79_1_CE40000_0_0_0.png,r1cataluprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CEUTA__PRADO,1_0_2_2C6_EA79_1_CE40000_0_0_0.png,r1ceutaprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CLMANC_PRADO,1_0_2_82_EA76_1_CE40000_0_0_0.png,r1clmancprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CLMANC_PRADO,1_0_2_82_EA79_1_CE40000_0_0_0.png,r1clmancprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CORDOB_PRADO,1_0_2_280_EA79_1_CE40000_0_0_0.png,r1cordobprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CUENCA_PRADO,1_0_2_334_EA79_1_CE40000_0_0_0.png,r1cuencaprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CYLEON_PRADO,1_0_2_FA_EA76_1_CE40000_0_0_0.png,r1cyleonprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_CYLEON_TORRE,1_0_2_FA_EA79_1_CE40000_0_0_0.png,r1cyleontorre.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_C_REAL_PRADO,1_0_2_32A_EA79_1_CE40000_0_0_0.png,r1crealprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_EXTREM_PRADO,1_0_2_154_EA76_1_CE40000_0_0_0.png,r1extremprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_EXTREM_TORRE,1_0_2_154_EA79_1_CE40000_0_0_0.png,r1extremtorre.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_GALICI_PRADO,1_0_2_104_EA76_1_CE40000_0_0_0.png,r1galiciprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_GALICI_PRADO,1_0_2_104_EA79_1_CE40000_0_0_0.png,r1galiciprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_GIJON__PRADO,1_0_2_2EE_EA76_1_CE40000_0_0_0.png,r1gijonprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_GIRONA_PRADO,1_0_2_3CA_EA79_1_CE40000_0_0_0.png,r1gironaprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_GRANAD_PRADO,1_0_2_28A_EA79_1_CE40000_0_0_0.png,r1granadprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
R1_GUADAL_PRADO,1_0_2_33E_EA79_1_CE40000_0_0_0.png,r1guadalprado.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
